customer_info
"C_009817,B,غیرفعال"
"C_010119,C,غیرفعال"
"C_010649,B,فعال"
"C_011055,A,فعال"
"C_014775,A,غیرفعال"
"C_015045,B,غیرفعال"
"C_015579,A,غیرفعال"
"C_015746,B,فعال"
"C_016617,A,فعال"
"C_018229,C,غیرفعال"
"C_018593,A,غیرفعال"
"C_021668,A,غیرفعال"
"C_021985,B,فعال"
"C_022240,C,فعال"
"C_022746,A,فعال"
"C_023073,C,فعال"
"C_027096,A,غیرفعال"
"C_028208,A,فعال"
"C_029626,B,غیرفعال"
"C_031511,A,فعال"
"C_034287,B,غیرفعال"
"C_035154,A,غیرفعال"
"C_035718,B,غیرفعال"
"C_039413,A,غیرفعال"
"C_040673,A,فعال"
"C_042732,B,فعال"
"C_049314,C,غیرفعال"
"C_050237,C,فعال"
"C_051392,C,غیرفعال"
"C_051535,C,فعال"
"C_051706,C,فعال"
"C_054476,C,فعال"
"C_054737,B,غیرفعال"
"C_058218,B,فعال"
"C_058685,A,غیرفعال"
"C_059511,B,غیرفعال"
"C_063809,A,فعال"
"C_063926,B,فعال"
"C_066978,B,فعال"
"C_069492,B,فعال"
"C_070220,A,غیرفعال"
"C_070712,C,فعال"
"C_074947,A,فعال"
"C_076411,B,غیرفعال"
"C_077505,C,غیرفعال"
"C_080312,A,غیرفعال"
"C_081235,B,فعال"
"C_081456,B,فعال"
"C_082643,A,غیرفعال"
"C_083552,C,فعال"
"C_086403,B,فعال"
"C_086972,C,غیرفعال"
"C_091932,C,غیرفعال"
"C_091997,B,غیرفعال"
"C_094312,C,فعال"
"C_095017,C,فعال"
"C_097158,C,غیرفعال"
"C_099163,C,غیرفعال"
"C_101421,C,غیرفعال"
"C_101842,C,فعال"
"C_110846,C,غیرفعال"
"C_113139,A,فعال"
"C_117580,B,غیرفعال"
"C_118223,A,فعال"
"C_119382,B,غیرفعال"
"C_120272,A,غیرفعال"
"C_121437,C,غیرفعال"
"C_122750,C,فعال"
"C_123245,A,غیرفعال"
"C_126481,C,غیرفعال"
"C_129349,C,غیرفعال"
"C_134962,C,غیرفعال"
"C_135878,C,غیرفعال"
"C_137881,B,فعال"
"C_144468,B,فعال"
"C_147153,C,فعال"
"C_147980,B,غیرفعال"
"C_150182,B,فعال"
"C_152040,B,فعال"
"C_152471,A,غیرفعال"
"C_155853,A,غیرفعال"
"C_155990,B,فعال"
"C_159514,A,غیرفعال"
"C_160952,A,غیرفعال"
"C_164398,B,غیرفعال"
"C_164510,A,غیرفعال"
"C_167944,A,غیرفعال"
"C_169164,B,فعال"
"C_169861,A,فعال"
"C_170045,C,فعال"
"C_171277,B,غیرفعال"
"C_172705,C,غیرفعال"
"C_172854,A,غیرفعال"
"C_174878,B,غیرفعال"
"C_178039,B,فعال"
"C_180562,A,فعال"
"C_180745,B,غیرفعال"
"C_180817,A,فعال"
"C_181387,C,فعال"
"C_182241,A,غیرفعال"
"C_183105,B,فعال"
"C_184726,C,غیرفعال"
"C_185126,C,فعال"
"C_189507,A,فعال"
"C_190305,A,فعال"
"C_190554,A,غیرفعال"
"C_192142,B,غیرفعال"
"C_193151,B,غیرفعال"
"C_195665,C,غیرفعال"
"C_196572,B,غیرفعال"
"C_197461,B,فعال"
"C_208015,A,غیرفعال"
"C_209453,B,غیرفعال"
"C_213928,B,فعال"
"C_214224,C,غیرفعال"
"C_216051,C,غیرفعال"
"C_217285,A,فعال"
"C_218295,C,فعال"
"C_219026,A,غیرفعال"
"C_221542,C,غیرفعال"
"C_222193,A,غیرفعال"
"C_224505,B,غیرفعال"
"C_226745,B,غیرفعال"
"C_227683,B,غیرفعال"
"C_227779,B,فعال"
"C_233299,A,غیرفعال"
"C_233724,B,غیرفعال"
"C_235399,C,غیرفعال"
"C_235625,A,غیرفعال"
"C_237191,A,فعال"
"C_237751,B,غیرفعال"
"C_238413,A,غیرفعال"
"C_239085,C,غیرفعال"
"C_240236,B,فعال"
"C_242469,B,غیرفعال"
"C_242632,C,غیرفعال"
"C_243568,C,فعال"
"C_244106,A,غیرفعال"
"C_244489,A,غیرفعال"
"C_244560,C,غیرفعال"
"C_245948,A,فعال"
"C_247907,C,غیرفعال"
"C_249009,A,غیرفعال"
"C_249135,B,فعال"
"C_249788,B,غیرفعال"
"C_251455,C,غیرفعال"
"C_257237,A,غیرفعال"
"C_257260,B,غیرفعال"
"C_258325,B,فعال"
"C_258818,C,غیرفعال"
"C_263291,B,غیرفعال"
"C_265163,C,غیرفعال"
"C_265923,B,فعال"
"C_267443,C,فعال"
"C_268031,C,غیرفعال"
"C_269097,A,فعال"
"C_272108,B,غیرفعال"
"C_274912,C,غیرفعال"
"C_276262,A,فعال"
"C_276942,C,فعال"
"C_277610,C,فعال"
"C_281145,C,غیرفعال"
"C_282539,B,غیرفعال"
"C_282979,C,فعال"
"C_284990,A,فعال"
"C_287115,A,غیرفعال"
"C_287361,A,غیرفعال"
"C_292582,A,غیرفعال"
"C_297913,B,فعال"
"C_298468,C,فعال"
"C_298813,A,غیرفعال"
"C_299317,B,فعال"
"C_299825,C,غیرفعال"
"C_302517,A,فعال"
"C_303006,B,فعال"
"C_304036,C,فعال"
"C_304462,B,غیرفعال"
"C_307303,B,غیرفعال"
"C_310107,C,غیرفعال"
"C_312584,C,غیرفعال"
"C_314119,C,غیرفعال"
"C_315505,C,فعال"
"C_316786,A,غیرفعال"
"C_317124,C,فعال"
"C_317216,C,فعال"
"C_322219,C,غیرفعال"
"C_322315,B,غیرفعال"
"C_322699,C,غیرفعال"
"C_323248,C,غیرفعال"
"C_324442,B,فعال"
"C_328236,B,فعال"
"C_328349,A,غیرفعال"
"C_328434,C,غیرفعال"
"C_328511,C,فعال"
"C_328979,A,غیرفعال"
"C_329432,A,فعال"
"C_330550,B,غیرفعال"
"C_334349,A,غیرفعال"
"C_334474,A,فعال"
"C_335322,A,فعال"
"C_335730,C,فعال"
"C_336021,A,فعال"
"C_337945,C,فعال"
"C_338236,C,فعال"
"C_342153,C,غیرفعال"
"C_342564,B,فعال"
"C_346978,C,غیرفعال"
"C_348438,A,غیرفعال"
"C_350091,A,غیرفعال"
"C_352205,C,فعال"
"C_352740,B,غیرفعال"
"C_354860,B,غیرفعال"
"C_357434,A,فعال"
"C_358504,A,فعال"
"C_360737,B,غیرفعال"
"C_361181,C,فعال"
"C_361746,C,غیرفعال"
"C_365032,A,غیرفعال"
"C_365277,A,فعال"
"C_365405,C,فعال"
"C_371497,A,فعال"
"C_374172,A,غیرفعال"
"C_376135,B,غیرفعال"
"C_376594,A,غیرفعال"
"C_377241,C,غیرفعال"
"C_378580,C,غیرفعال"
"C_379035,C,غیرفعال"
"C_381828,B,غیرفعال"
"C_382272,B,فعال"
"C_382534,C,فعال"
"C_385527,B,فعال"
"C_385862,A,غیرفعال"
"C_386162,C,غیرفعال"
"C_387172,A,غیرفعال"
"C_387585,B,فعال"
"C_389645,A,غیرفعال"
"C_389825,C,فعال"
"C_390208,A,غیرفعال"
"C_391166,A,فعال"
"C_391675,C,فعال"
"C_392302,B,غیرفعال"
"C_392933,A,غیرفعال"
"C_395264,A,غیرفعال"
"C_398853,B,غیرفعال"
"C_401016,C,غیرفعال"
"C_410063,B,غیرفعال"
"C_411261,A,فعال"
"C_411612,A,غیرفعال"
"C_412212,C,غیرفعال"
"C_412635,B,فعال"
"C_415428,C,غیرفعال"
"C_416625,B,غیرفعال"
"C_417601,B,فعال"
"C_419410,C,فعال"
"C_420287,A,غیرفعال"
"C_420849,C,فعال"
"C_420879,B,غیرفعال"
"C_421083,A,فعال"
"C_421536,A,غیرفعال"
"C_422566,A,غیرفعال"
"C_422697,A,غیرفعال"
"C_426424,B,فعال"
"C_426816,B,فعال"
"C_427824,B,غیرفعال"
"C_428127,A,فعال"
"C_431599,B,غیرفعال"
"C_431655,B,فعال"
"C_432760,C,فعال"
"C_433939,B,غیرفعال"
"C_439356,C,غیرفعال"
"C_440132,A,فعال"
"C_442101,C,غیرفعال"
"C_444616,C,فعال"
